City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Ushtobe,KZ,45.2514,77.9838,18.79,58,0,12.1,clear sky
283,Yankton,US,42.8711,-97.3973,38.12,70,90,3.44,overcast clouds
284,Kaeo,NZ,-35.1,173.7833,73.78,55,41,7.54,scattered clouds
285,Heihe,CN,50.2441,127.4902,12.78,87,100,9.37,overcast clouds
286,Rio Grande,BR,-32.035,-52.0986,66.94,68,0,14.63,clear sky
287,Victoria,HK,22.2855,114.1577,73.26,65,0,1.01,clear sky
288,Itarema,BR,-2.9248,-39.9167,80.85,78,39,14.65,scattered clouds
289,Morros,BR,-9.4467,-46.3003,71.53,89,87,3.42,overcast clouds
290,Morristown,US,36.214,-83.2949,48.51,62,90,3.44,overcast clouds
291,Halenkov,CZ,49.3174,18.1475,32.59,99,100,2.51,overcast clouds
292,Qaqortoq,GL,60.7167,-46.0333,27.1,94,46,4.97,scattered clouds
293,San Jose,US,37.3394,-121.895,53.28,76,20,4.61,few clouds
294,Pierre,US,44.3683,-100.351,33.85,50,90,3.44,overcast clouds
295,Along,IN,28.1667,94.7667,61.34,59,4,1.32,clear sky
296,Puerto Quijarro,BO,-17.7833,-57.7667,78.71,50,100,1.97,overcast clouds
297,Wangqing,CN,43.3218,129.7634,33.37,84,100,1.7,overcast clouds
298,San Quintin,MX,30.4833,-115.95,60.42,84,100,7.92,overcast clouds
299,San Cristobal,VE,7.7669,-72.225,71.78,96,100,2.75,overcast clouds
300,Vitoria,BR,-20.3194,-40.3378,69.85,91,40,1.99,scattered clouds
301,Grivenskaya,RU,45.6473,38.176,47.3,89,78,5.48,broken clouds
302,Labuhan,ID,-6.8844,112.2051,84.2,69,96,6.6,overcast clouds
303,Brumado,BR,-14.2036,-41.6653,69.46,97,96,2.08,overcast clouds
304,Geri,CY,35.1,33.4167,55.33,75,0,1.48,clear sky
305,Tromso,NO,69.6496,18.957,17.62,73,0,6.91,clear sky
306,Faya,SA,18.3851,42.4509,44.71,17,0,4.92,clear sky
307,Arica,CL,-18.475,-70.3042,66.43,77,90,5.75,overcast clouds
308,Ixtapa,MX,20.7,-105.2,74.43,73,1,0.0,clear sky
309,Port Macquarie,AU,-31.4333,152.9167,83.89,34,0,2.59,clear sky
310,Kushima,JP,31.4583,131.2333,58.51,77,100,3.76,overcast clouds
311,Paramonga,PE,-10.6667,-77.8333,67.3,85,99,7.61,overcast clouds
312,Ternate,ID,0.8,127.4,84.43,71,95,8.39,overcast clouds
313,La Cruz,MX,23.9167,-106.9,70.97,59,0,5.44,clear sky
314,Monte Alegre,BR,-2.0078,-54.0692,79.52,79,100,1.95,overcast clouds
315,Maxixe,MZ,-23.8597,35.3472,75.06,92,23,6.15,few clouds
