City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Avarua,CK,2021-12-08 14:49:57,-21.2078,-159.775,75.25,100,90,2.3
159,Metu,ET,2021-12-08 14:49:57,8.3,35.5833,71.02,41,100,2.26
160,Hermanus,ZA,2021-12-08 14:49:58,-34.4187,19.2345,80.91,64,41,21.12
161,Novyy Buh,UA,2021-12-08 14:49:58,47.6931,32.5216,44.82,86,100,6.87
162,Bethel,US,2021-12-08 14:49:59,41.3712,-73.414,39.0,68,75,1.01
163,Atuona,PF,2021-12-08 14:49:59,-9.8,-139.0333,77.52,77,95,14.2
164,Tuktoyaktuk,CA,2021-12-08 14:49:59,69.4541,-133.0374,8.6,85,75,14.97
165,Nador,MA,2021-12-08 14:50:00,35.174,-2.9287,62.67,72,90,17.27
166,Khandyga,RU,2021-12-08 14:50:00,62.6667,135.6,-25.71,84,100,3.24
167,La Sarre,CA,2021-12-08 14:50:01,48.8002,-79.1996,10.53,92,100,4.99
168,Port Hawkesbury,CA,2021-12-08 14:50:01,45.6169,-61.3485,32.92,64,1,5.01
169,Platanos,GR,2021-12-08 14:50:02,37.6667,21.6167,56.08,78,46,7.27
170,Araouane,ML,2021-12-08 14:50:02,18.9048,-3.5265,84.33,8,35,9.33
171,Kavaratti,IN,2021-12-08 14:50:02,10.5669,72.642,80.73,72,5,8.93
172,Oussouye,SN,2021-12-08 14:50:03,12.485,-16.5469,91.58,17,100,5.03
173,Usinsk,RU,2021-12-08 14:50:03,65.9939,57.5281,-6.09,99,48,9.86
174,Lisakovsk,KZ,2021-12-08 14:50:03,52.5369,62.4936,8.26,81,100,5.97
175,Thompson,CA,2021-12-08 14:45:16,55.7435,-97.8558,-38.04,74,75,0.0
176,La Romana,DO,2021-12-08 14:45:31,18.4273,-68.9728,82.76,69,20,0.0
177,Port Said,EG,2021-12-08 14:50:04,31.2565,32.2841,62.58,59,75,23.02
178,Barrow,US,2021-12-08 14:50:04,71.2906,-156.7887,10.42,72,90,27.63
179,Ahipara,NZ,2021-12-08 14:50:05,-35.1667,173.1667,61.14,93,40,3.18
180,Sal Rei,CV,2021-12-08 14:50:05,16.1833,-22.9167,79.0,57,100,19.57
181,Sabang,ID,2021-12-08 14:50:06,5.8933,95.3214,82.85,75,94,20.58
182,Igarka,RU,2021-12-08 14:50:06,67.4667,86.5833,-1.57,97,100,21.61
183,Cayenne,GF,2021-12-08 14:51:06,4.9333,-52.3333,78.84,91,75,1.01
184,Port Blair,IN,2021-12-08 14:51:07,11.6667,92.75,80.67,74,67,14.67
185,Shubarshi,KZ,2021-12-08 14:51:07,48.5872,57.1869,23.4,58,59,14.65
186,Nouadhibou,MR,2021-12-08 14:51:07,20.931,-17.0347,80.58,18,10,8.05
187,Petropavlovka,RU,2021-12-08 14:51:08,50.6114,105.3196,13.95,88,90,4.38
188,Marquette,US,2021-12-08 14:51:08,46.5333,-87.6335,14.34,76,36,5.97
189,Butaritari,KI,2021-12-08 14:51:09,3.0707,172.7902,82.09,78,99,12.77
190,Ukiah,US,2021-12-08 14:47:34,39.1502,-123.2078,51.87,93,90,0.0
191,Mendi,PG,2021-12-08 14:51:09,-6.1761,143.6513,56.97,98,100,0.98
192,Bathsheba,BB,2021-12-08 14:51:10,13.2167,-59.5167,83.01,74,40,23.02
193,Sangrur,IN,2021-12-08 14:51:10,30.2333,75.8333,62.31,32,0,3.98
194,Kununurra,AU,2021-12-08 14:51:10,-15.7667,128.7333,84.18,74,75,11.5
195,Iqaluit,CA,2021-12-08 14:51:11,63.7506,-68.5145,6.53,72,90,10.36
196,Umba,RU,2021-12-08 14:51:11,66.6871,34.3429,9.75,91,70,10.58
197,Vardo,NO,2021-12-08 14:51:12,70.3705,31.1107,10.15,75,3,15.32
198,Bubaque,GW,2021-12-08 14:51:12,11.2833,-15.8333,81.43,46,68,3.94
199,Jinchang,CN,2021-12-08 14:51:13,38.4953,102.1739,31.6,35,0,3.15
200,Ancud,CL,2021-12-08 14:51:13,-41.8697,-73.8203,72.23,67,1,6.31
201,Diapaga,BF,2021-12-08 14:51:13,12.0708,1.7889,94.8,9,6,8.57
202,Dongsheng,CN,2021-12-08 14:51:14,39.8161,109.9776,28.89,60,100,13.73
203,Tiksi,RU,2021-12-08 14:51:14,71.6872,128.8694,-20.45,95,100,7.81
204,Sitka,US,2021-12-08 14:51:14,57.0531,-135.33,37.29,87,90,14.97
205,San Jose,US,2021-12-08 14:50:02,37.3394,-121.895,53.89,92,1,4.61
206,Esperance,AU,2021-12-08 14:51:15,-33.8667,121.9,62.44,70,1,22.19
207,Matagami,CA,2021-12-08 14:51:15,49.7502,-77.6328,-3.89,84,90,4.61
208,Boende,CD,2021-12-08 14:51:16,-0.2167,20.8667,85.64,61,71,2.1
209,Kashi,CN,2021-12-08 14:51:16,39.4547,75.9797,38.23,40,40,2.24
210,Dauphin,CA,2021-12-08 14:51:17,51.1494,-100.0502,-7.46,84,40,0.0
211,Sorochinsk,RU,2021-12-08 14:51:17,52.4338,53.1583,24.46,90,100,14.25
212,Ponta Do Sol,PT,2021-12-08 14:51:17,32.6667,-17.1,68.13,59,81,4.74
213,Chimoio,MZ,2021-12-08 14:51:18,-19.1164,33.4833,91.26,33,40,7.0
214,Kuvandyk,RU,2021-12-08 14:51:18,51.4781,57.3552,10.04,91,100,5.88
215,Chapais,CA,2021-12-08 14:47:47,49.7834,-74.8492,-7.82,94,100,6.31
216,Upernavik,GL,2021-12-08 14:51:19,72.7868,-56.1549,5.0,91,23,5.73
217,Metro,ID,2021-12-08 14:51:19,-5.1131,105.3067,75.07,94,100,2.84
218,Fort Saint James,CA,2021-12-08 14:51:20,54.4333,-124.25,25.12,70,18,7.58
219,Kongolo,CD,2021-12-08 14:51:20,-5.3833,27.0,71.51,98,100,2.21
220,Bambous Virieux,MU,2021-12-08 14:51:21,-20.3428,57.7575,80.85,69,40,6.91
221,Werda,BW,2021-12-08 14:51:21,-25.2667,23.2833,93.2,19,31,5.3
222,Ahuimanu,US,2021-12-08 14:51:22,21.4447,-157.8378,76.71,92,90,10.36
223,Hay River,CA,2021-12-08 14:51:22,60.8156,-115.7999,10.38,85,75,3.44
224,Hokitika,NZ,2021-12-08 14:51:22,-42.7167,170.9667,55.65,86,98,2.19
225,Fukue,JP,2021-12-08 14:51:23,32.6881,128.8419,58.23,63,13,24.14
226,Puerto Penasco,MX,2021-12-08 14:52:23,31.3167,-113.5333,65.91,70,94,7.81
227,Lata,PT,2021-12-08 14:52:23,40.1629,-8.3327,55.92,74,80,14.79
228,Berlevag,NO,2021-12-08 14:52:24,70.8578,29.0864,15.75,62,0,18.41
229,Longhua,CN,2021-12-08 14:52:24,23.6137,114.1919,59.86,70,0,0.43
230,Odienne,CI,2021-12-08 14:52:24,9.51,-7.5692,96.3,13,7,5.03
231,Palmer,US,2021-12-08 14:48:51,42.1584,-72.3287,34.43,74,90,1.01
232,Yangambi,CD,2021-12-08 14:52:26,0.8102,24.4336,83.43,63,100,1.63
233,Nalut,LY,2021-12-08 14:52:27,30.3333,10.85,62.83,16,47,10.4
234,Egvekinot,RU,2021-12-08 14:52:27,66.3167,-179.1667,-9.09,89,91,9.24
235,Keti Bandar,PK,2021-12-08 14:52:28,24.1447,67.4497,75.15,37,0,5.75
236,Dingle,PH,2021-12-08 14:52:28,10.9995,122.6711,75.92,88,100,12.17
237,Yumen,CN,2021-12-08 14:52:28,40.2833,97.2,30.51,46,9,10.69
238,Prestea,GH,2021-12-08 14:52:29,5.4327,-2.1428,90.9,47,59,3.67
239,Buala,SB,2021-12-08 14:52:29,-8.145,159.5921,80.35,85,100,8.12
240,Mglin,RU,2021-12-08 14:52:29,53.0591,32.8475,21.0,95,100,13.85
241,Boueni,YT,2021-12-08 14:52:30,-12.9025,45.0761,80.58,65,1,3.22
242,Los Llanos De Aridane,ES,2021-12-08 14:52:30,28.6585,-17.9182,65.12,77,75,15.01
243,Prince Rupert,CA,2021-12-08 14:52:31,54.3161,-130.3201,35.29,93,90,13.8
244,Makakilo City,US,2021-12-08 14:51:39,21.3469,-158.0858,75.52,89,90,4.61
245,Jumla,NP,2021-12-08 14:52:31,29.2747,82.1838,38.79,47,0,6.11
246,Airai,TL,2021-12-08 14:51:27,-8.9266,125.4092,61.02,94,99,0.63
247,Birjand,IR,2021-12-08 14:52:32,32.8663,59.2211,54.07,15,0,9.22
248,Marsh Harbour,BS,2021-12-08 14:52:32,26.5412,-77.0636,75.9,73,33,3.02
249,Asau,RO,2021-12-08 14:52:32,46.4333,26.4,30.96,82,100,1.52
250,Nioro,GM,2021-12-08 14:52:33,13.35,-15.75,99.57,9,78,6.8
251,Chokurdakh,RU,2021-12-08 14:52:33,70.6333,147.9167,-45.99,100,100,3.87
252,Tangshan,CN,2021-12-08 14:52:33,39.6333,118.1833,39.24,65,100,1.81
